BOS 1 free survival;0.75;0.75;0.75;0.75;0.75;0.75;0.69;0.66;0.63;0.58;0.53;0.42;0.22;0.15;0.10;0.10;0.05;0.05;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
BOS 2 free survival;0.86;0.86;0.86;0.86;0.86;0.86;0.85;0.85;0.81;0.76;0.69;0.59;0.37;0.27;0.24;0.19;0.17;0.15;0.12;0.12;0.10;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.06;0.06;0.06;0.06;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
BOS 3 free survival;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.97;0.95;0.90;0.61;0.44;0.39;0.37;0.32;0.31;0.29;0.29;0.25;0.24;0.24;0.24;0.20;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.16;0.16;0.16;0.16;0.14;0.14;0.14;0.14;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.06;0.06
